Color,Year1,Year2,Year3,Year4,Year5,Year6,Year7
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
#F7FE2E,180,220,330,400,500,500,500
#F2F5A9,500,310,250,270,180,110,50
#F3F781,180,180,180,300,300,500,500
