Color,Year1,Year2,Year3,Year4,Year5,Year6,Year7
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
#58FA58,180,180,180,300,300,500,500
#088A29,180,220,330,400,500,500,500
#088A29,180,220,330,400,500,500,500
#D8F6CE,500,310,250,270,180,110,50
#D8F6CE,500,310,250,270,180,110,50
